NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Coon Point, Elliott Key, Biscayne Bay
State: FL
Stationid: 8723391
ReferencedToStationName: GOVERNMENT CUT, MIAMI HARBOR ENTRANCE
ReferenceToStationId: 8723178
HeightOffsetLow: *0.71
HeightOffsetHigh: * 0.63
TimeOffsetLow: 176
TimeOffsetHigh: 115
Prediction Type: Subordinate
From: 20131231 12:00AM - 20141231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2013/12/31	Tue	03:27 AM	-0.4		-12		L
2013/12/31	Tue	09:20 AM	1.7		52		H
2013/12/31	Tue	03:59 PM	-0.1		-3		L
2013/12/31	Tue	09:29 PM	1.6		49		H
2014/01/01	Wed	04:21 AM	-0.5		-15		L
2014/01/01	Wed	10:12 AM	1.8		55		H
2014/01/01	Wed	04:52 PM	-0.2		-6		L
2014/01/01	Wed	10:24 PM	1.7		52		H
2014/01/02	Thu	05:13 AM	-0.5		-15		L
2014/01/02	Thu	11:02 AM	1.8		55		H
2014/01/02	Thu	05:44 PM	-0.3		-9		L
2014/01/02	Thu	11:17 PM	1.7		52		H
2014/01/03	Fri	06:05 AM	-0.5		-15		L
2014/01/03	Fri	11:51 AM	1.8		55		H
2014/01/03	Fri	06:36 PM	-0.3		-9		L
2014/01/04	Sat	12:10 AM	1.7		52		H
2014/01/04	Sat	06:58 AM	-0.4		-12		L
2014/01/04	Sat	12:41 PM	1.8		55		H
2014/01/04	Sat	07:30 PM	-0.3		-9		L
2014/01/05	Sun	01:04 AM	1.7		52		H
2014/01/05	Sun	07:53 AM	-0.3		-9		L
2014/01/05	Sun	01:31 PM	1.7		52		H
2014/01/05	Sun	08:25 PM	-0.3		-9		L
2014/01/06	Mon	01:59 AM	1.6		49		H
2014/01/06	Mon	08:49 AM	-0.2		-6		L
2014/01/06	Mon	02:23 PM	1.6		49		H
2014/01/06	Mon	09:23 PM	-0.2		-6		L
2014/01/07	Tue	02:57 AM	1.5		46		H
2014/01/07	Tue	09:49 AM	0.0		0		L
2014/01/07	Tue	03:16 PM	1.5		46		H
2014/01/07	Tue	10:23 PM	-0.2		-6		L
2014/01/08	Wed	03:57 AM	1.4		43		H
2014/01/08	Wed	10:51 AM	0.1		3		L
2014/01/08	Wed	04:13 PM	1.4		43		H
2014/01/08	Wed	11:23 PM	-0.1		-3		L
2014/01/09	Thu	05:00 AM	1.4		43		H
2014/01/09	Thu	11:52 AM	0.1		3		L
2014/01/09	Thu	05:12 PM	1.3		40		H
2014/01/10	Fri	12:22 AM	-0.1		-3		L
2014/01/10	Fri	06:03 AM	1.3		40		H
2014/01/10	Fri	12:52 PM	0.2		6		L
2014/01/10	Fri	06:11 PM	1.3		40		H
2014/01/11	Sat	01:17 AM	-0.1		-3		L
2014/01/11	Sat	07:01 AM	1.3		40		H
2014/01/11	Sat	01:47 PM	0.2		6		L
2014/01/11	Sat	07:07 PM	1.3		40		H
2014/01/12	Sun	02:08 AM	-0.1		-3		L
2014/01/12	Sun	07:54 AM	1.4		43		H
2014/01/12	Sun	02:37 PM	0.2		6		L
2014/01/12	Sun	07:57 PM	1.3		40		H
2014/01/13	Mon	02:55 AM	-0.1		-3		L
2014/01/13	Mon	08:40 AM	1.4		43		H
2014/01/13	Mon	03:23 PM	0.1		3		L
2014/01/13	Mon	08:43 PM	1.3		40		H
2014/01/14	Tue	03:39 AM	-0.2		-6		L
2014/01/14	Tue	09:21 AM	1.4		43		H
2014/01/14	Tue	04:05 PM	0.1		3		L
2014/01/14	Tue	09:25 PM	1.3		40		H
2014/01/15	Wed	04:19 AM	-0.2		-6		L
2014/01/15	Wed	09:59 AM	1.4		43		H
2014/01/15	Wed	04:45 PM	0.0		0		L
2014/01/15	Wed	10:05 PM	1.4		43		H
2014/01/16	Thu	04:57 AM	-0.2		-6		L
2014/01/16	Thu	10:36 AM	1.5		46		H
2014/01/16	Thu	05:22 PM	0.0		0		L
2014/01/16	Thu	10:44 PM	1.4		43		H
2014/01/17	Fri	05:34 AM	-0.2		-6		L
2014/01/17	Fri	11:12 AM	1.5		46		H
2014/01/17	Fri	05:58 PM	0.0		0		L
2014/01/17	Fri	11:23 PM	1.4		43		H
2014/01/18	Sat	06:09 AM	-0.1		-3		L
2014/01/18	Sat	11:48 AM	1.4		43		H
2014/01/18	Sat	06:33 PM	0.0		0		L
2014/01/19	Sun	12:01 AM	1.3		40		H
2014/01/19	Sun	06:44 AM	-0.1		-3		L
2014/01/19	Sun	12:24 PM	1.4		43		H
2014/01/19	Sun	07:08 PM	0.0		0		L
2014/01/20	Mon	12:40 AM	1.3		40		H
2014/01/20	Mon	07:19 AM	0.0		0		L
2014/01/20	Mon	01:00 PM	1.4		43		H
2014/01/20	Mon	07:44 PM	0.0		0		L
2014/01/21	Tue	01:21 AM	1.3		40		H
2014/01/21	Tue	07:58 AM	0.0		0		L
2014/01/21	Tue	01:37 PM	1.3		40		H
2014/01/21	Tue	08:24 PM	0.0		0		L
2014/01/22	Wed	02:05 AM	1.3		40		H
2014/01/22	Wed	08:42 AM	0.1		3		L
2014/01/22	Wed	02:17 PM	1.3		40		H
2014/01/22	Wed	09:11 PM	0.0		0		L
2014/01/23	Thu	02:55 AM	1.2		37		H
2014/01/23	Thu	09:33 AM	0.1		3		L
2014/01/23	Thu	03:03 PM	1.2		37		H
2014/01/23	Thu	10:05 PM	-0.1		-3		L
2014/01/24	Fri	03:52 AM	1.2		37		H
2014/01/24	Fri	10:33 AM	0.2		6		L
2014/01/24	Fri	03:58 PM	1.2		37		H
2014/01/24	Fri	11:07 PM	-0.1		-3		L
2014/01/25	Sat	04:56 AM	1.3		40		H
2014/01/25	Sat	11:40 AM	0.2		6		L
2014/01/25	Sat	05:02 PM	1.2		37		H
2014/01/26	Sun	12:12 AM	-0.2		-6		L
2014/01/26	Sun	06:03 AM	1.3		40		H
2014/01/26	Sun	12:46 PM	0.1		3		L
2014/01/26	Sun	06:10 PM	1.3		40		H
2014/01/27	Mon	01:15 AM	-0.3		-9		L
2014/01/27	Mon	07:08 AM	1.4		43		H
2014/01/27	Mon	01:49 PM	0.0		0		L
2014/01/27	Mon	07:17 PM	1.4		43		H
2014/01/28	Tue	02:15 AM	-0.4		-12		L
2014/01/28	Tue	08:07 AM	1.5		46		H
2014/01/28	Tue	02:48 PM	-0.1		-3		L
2014/01/28	Tue	08:18 PM	1.5		46		H
2014/01/29	Wed	03:12 AM	-0.5		-15		L
2014/01/29	Wed	09:02 AM	1.6		49		H
2014/01/29	Wed	03:43 PM	-0.3		-9		L
2014/01/29	Wed	09:16 PM	1.6		49		H
2014/01/30	Thu	04:06 AM	-0.6		-18		L
2014/01/30	Thu	09:53 AM	1.7		52		H
2014/01/30	Thu	04:35 PM	-0.4		-12		L
2014/01/30	Thu	10:10 PM	1.7		52		H
2014/01/31	Fri	04:58 AM	-0.6		-18		L
2014/01/31	Fri	10:43 AM	1.8		55		H
2014/01/31	Fri	05:27 PM	-0.5		-15		L
2014/01/31	Fri	11:02 PM	1.7		52		H
2014/02/01	Sat	05:50 AM	-0.6		-18		L
2014/02/01	Sat	11:30 AM	1.8		55		H
2014/02/01	Sat	06:18 PM	-0.5		-15		L
2014/02/01	Sat	11:53 PM	1.7		52		H
2014/02/02	Sun	06:41 AM	-0.5		-15		L
2014/02/02	Sun	12:18 PM	1.7		52		H
2014/02/02	Sun	07:08 PM	-0.5		-15		L
2014/02/03	Mon	12:44 AM	1.7		52		H
2014/02/03	Mon	07:32 AM	-0.4		-12		L
2014/02/03	Mon	01:05 PM	1.6		49		H
2014/02/03	Mon	08:00 PM	-0.4		-12		L
2014/02/04	Tue	01:35 AM	1.6		49		H
2014/02/04	Tue	08:24 AM	-0.2		-6		L
2014/02/04	Tue	01:53 PM	1.5		46		H
2014/02/04	Tue	08:53 PM	-0.3		-9		L
2014/02/05	Wed	02:28 AM	1.5		46		H
2014/02/05	Wed	09:19 AM	-0.1		-3		L
2014/02/05	Wed	02:43 PM	1.4		43		H
2014/02/05	Wed	09:49 PM	-0.2		-6		L
2014/02/06	Thu	03:24 AM	1.3		40		H
2014/02/06	Thu	10:17 AM	0.0		0		L
2014/02/06	Thu	03:36 PM	1.3		40		H
2014/02/06	Thu	10:47 PM	-0.1		-3		L
2014/02/07	Fri	04:23 AM	1.3		40		H
2014/02/07	Fri	11:17 AM	0.1		3		L
2014/02/07	Fri	04:33 PM	1.2		37		H
2014/02/07	Fri	11:47 PM	-0.1		-3		L
2014/02/08	Sat	05:25 AM	1.2		37		H
2014/02/08	Sat	12:19 PM	0.2		6		L
2014/02/08	Sat	05:34 PM	1.1		34		H
2014/02/09	Sun	12:46 AM	0.0		0		L
2014/02/09	Sun	06:27 AM	1.2		37		H
2014/02/09	Sun	01:17 PM	0.2		6		L
2014/02/09	Sun	06:34 PM	1.1		34		H
2014/02/10	Mon	01:41 AM	0.0		0		L
2014/02/10	Mon	07:23 AM	1.2		37		H
2014/02/10	Mon	02:10 PM	0.2		6		L
2014/02/10	Mon	07:29 PM	1.2		37		H
2014/02/11	Tue	02:30 AM	-0.1		-3		L
2014/02/11	Tue	08:11 AM	1.3		40		H
2014/02/11	Tue	02:57 PM	0.1		3		L
2014/02/11	Tue	08:17 PM	1.2		37		H
2014/02/12	Wed	03:15 AM	-0.1		-3		L
2014/02/12	Wed	08:53 AM	1.3		40		H
2014/02/12	Wed	03:40 PM	0.1		3		L
2014/02/12	Wed	09:01 PM	1.3		40		H
2014/02/13	Thu	03:56 AM	-0.1		-3		L
2014/02/13	Thu	09:32 AM	1.4		43		H
2014/02/13	Thu	04:20 PM	0.0		0		L
2014/02/13	Thu	09:43 PM	1.3		40		H
2014/02/14	Fri	04:34 AM	-0.2		-6		L
2014/02/14	Fri	10:09 AM	1.4		43		H
2014/02/14	Fri	04:56 PM	-0.1		-3		L
2014/02/14	Fri	10:22 PM	1.4		43		H
2014/02/15	Sat	05:10 AM	-0.2		-6		L
2014/02/15	Sat	10:45 AM	1.4		43		H
2014/02/15	Sat	05:31 PM	-0.1		-3		L
2014/02/15	Sat	11:00 PM	1.4		43		H
2014/02/16	Sun	05:45 AM	-0.2		-6		L
2014/02/16	Sun	11:21 AM	1.4		43		H
2014/02/16	Sun	06:05 PM	-0.1		-3		L
2014/02/16	Sun	11:39 PM	1.4		43		H
2014/02/17	Mon	06:19 AM	-0.2		-6		L
2014/02/17	Mon	11:56 AM	1.4		43		H
2014/02/17	Mon	06:39 PM	-0.2		-6		L
2014/02/18	Tue	12:17 AM	1.4		43		H
2014/02/18	Tue	06:55 AM	-0.1		-3		L
2014/02/18	Tue	12:32 PM	1.4		43		H
2014/02/18	Tue	07:15 PM	-0.2		-6		L
2014/02/19	Wed	12:58 AM	1.4		43		H
2014/02/19	Wed	07:33 AM	-0.1		-3		L
2014/02/19	Wed	01:09 PM	1.3		40		H
2014/02/19	Wed	07:55 PM	-0.2		-6		L
2014/02/20	Thu	01:41 AM	1.3		40		H
2014/02/20	Thu	08:16 AM	0.0		0		L
2014/02/20	Thu	01:49 PM	1.3		40		H
2014/02/20	Thu	08:41 PM	-0.2		-6		L
2014/02/21	Fri	02:29 AM	1.3		40		H
2014/02/21	Fri	09:06 AM	0.1		3		L
2014/02/21	Fri	02:36 PM	1.3		40		H
2014/02/21	Fri	09:35 PM	-0.1		-3		L
2014/02/22	Sat	03:26 AM	1.3		40		H
2014/02/22	Sat	10:06 AM	0.1		3		L
2014/02/22	Sat	03:32 PM	1.2		37		H
2014/02/22	Sat	10:38 PM	-0.1		-3		L
2014/02/23	Sun	04:30 AM	1.3		40		H
2014/02/23	Sun	11:14 AM	0.1		3		L
2014/02/23	Sun	04:39 PM	1.2		37		H
2014/02/23	Sun	11:47 PM	-0.2		-6		L
2014/02/24	Mon	05:39 AM	1.3		40		H
2014/02/24	Mon	12:24 PM	0.1		3		L
2014/02/24	Mon	05:52 PM	1.3		40		H
2014/02/25	Tue	12:55 AM	-0.2		-6		L
2014/02/25	Tue	06:46 AM	1.4		43		H
2014/02/25	Tue	01:30 PM	0.0		0		L
2014/02/25	Tue	07:02 PM	1.4		43		H
2014/02/26	Wed	01:58 AM	-0.3		-9		L
2014/02/26	Wed	07:47 AM	1.5		46		H
2014/02/26	Wed	02:30 PM	-0.2		-6		L
2014/02/26	Wed	08:05 PM	1.5		46		H
2014/02/27	Thu	02:56 AM	-0.4		-12		L
2014/02/27	Thu	08:42 AM	1.6		49		H
2014/02/27	Thu	03:25 PM	-0.3		-9		L
2014/02/27	Thu	09:02 PM	1.6		49		H
2014/02/28	Fri	03:51 AM	-0.5		-15		L
2014/02/28	Fri	09:33 AM	1.7		52		H
2014/02/28	Fri	04:18 PM	-0.4		-12		L
2014/02/28	Fri	09:55 PM	1.7		52		H
2014/03/01	Sat	04:42 AM	-0.5		-15		L
2014/03/01	Sat	10:21 AM	1.7		52		H
2014/03/01	Sat	05:07 PM	-0.5		-15		L
2014/03/01	Sat	10:46 PM	1.8		55		H
2014/03/02	Sun	05:32 AM	-0.5		-15		L
2014/03/02	Sun	11:08 AM	1.8		55		H
2014/03/02	Sun	05:56 PM	-0.5		-15		L
2014/03/02	Sun	11:34 PM	1.8		55		H
2014/03/03	Mon	06:21 AM	-0.4		-12		L
2014/03/03	Mon	11:53 AM	1.7		52		H
2014/03/03	Mon	06:44 PM	-0.5		-15		L
2014/03/04	Tue	12:22 AM	1.7		52		H
2014/03/04	Tue	07:09 AM	-0.3		-9		L
2014/03/04	Tue	12:38 PM	1.6		49		H
2014/03/04	Tue	07:32 PM	-0.4		-12		L
2014/03/05	Wed	01:09 AM	1.6		49		H
2014/03/05	Wed	07:57 AM	-0.2		-6		L
2014/03/05	Wed	01:23 PM	1.5		46		H
2014/03/05	Wed	08:21 PM	-0.3		-9		L
2014/03/06	Thu	01:57 AM	1.5		46		H
2014/03/06	Thu	08:48 AM	0.0		0		L
2014/03/06	Thu	02:09 PM	1.4		43		H
2014/03/06	Thu	09:13 PM	-0.2		-6		L
2014/03/07	Fri	02:48 AM	1.4		43		H
2014/03/07	Fri	09:41 AM	0.1		3		L
2014/03/07	Fri	02:58 PM	1.3		40		H
2014/03/07	Fri	10:08 PM	0.0		0		L
2014/03/08	Sat	03:42 AM	1.3		40		H
2014/03/08	Sat	10:39 AM	0.2		6		L
2014/03/08	Sat	03:52 PM	1.2		37		H
2014/03/08	Sat	11:08 PM	0.1		3		L
2014/03/09	Sun	05:40 AM	1.2		37		H
2014/03/09	Sun	12:41 PM	0.3		9		L
2014/03/09	Sun	05:52 PM	1.1		34		H
2014/03/10	Mon	01:09 AM	0.1		3		L
2014/03/10	Mon	06:42 AM	1.2		37		H
2014/03/10	Mon	01:41 PM	0.3		9		L
2014/03/10	Mon	06:55 PM	1.1		34		H
2014/03/11	Tue	02:07 AM	0.1		3		L
2014/03/11	Tue	07:41 AM	1.2		37		H
2014/03/11	Tue	02:37 PM	0.3		9		L
2014/03/11	Tue	07:54 PM	1.2		37		H
2014/03/12	Wed	02:59 AM	0.1		3		L
2014/03/12	Wed	08:32 AM	1.2		37		H
2014/03/12	Wed	03:25 PM	0.2		6		L
2014/03/12	Wed	08:46 PM	1.2		37		H
2014/03/13	Thu	03:45 AM	0.0		0		L
2014/03/13	Thu	09:17 AM	1.3		40		H
2014/03/13	Thu	04:09 PM	0.1		3		L
2014/03/13	Thu	09:33 PM	1.3		40		H
2014/03/14	Fri	04:28 AM	0.0		0		L
2014/03/14	Fri	09:58 AM	1.4		43		H
2014/03/14	Fri	04:48 PM	0.0		0		L
2014/03/14	Fri	10:16 PM	1.4		43		H
2014/03/15	Sat	05:06 AM	-0.1		-3		L
2014/03/15	Sat	10:37 AM	1.4		43		H
2014/03/15	Sat	05:25 PM	-0.1		-3		L
2014/03/15	Sat	10:57 PM	1.5		46		H
2014/03/16	Sun	05:43 AM	-0.1		-3		L
2014/03/16	Sun	11:15 AM	1.5		46		H
2014/03/16	Sun	06:00 PM	-0.1		-3		L
2014/03/16	Sun	11:36 PM	1.5		46		H
2014/03/17	Mon	06:19 AM	-0.1		-3		L
2014/03/17	Mon	11:52 AM	1.5		46		H
2014/03/17	Mon	06:35 PM	-0.2		-6		L
2014/03/18	Tue	12:16 AM	1.5		46		H
2014/03/18	Tue	06:55 AM	-0.1		-3		L
2014/03/18	Tue	12:29 PM	1.5		46		H
2014/03/18	Tue	07:11 PM	-0.2		-6		L
2014/03/19	Wed	12:56 AM	1.6		49		H
2014/03/19	Wed	07:33 AM	-0.1		-3		L
2014/03/19	Wed	01:07 PM	1.5		46		H
2014/03/19	Wed	07:49 PM	-0.2		-6		L
2014/03/20	Thu	01:38 AM	1.5		46		H
2014/03/20	Thu	08:13 AM	0.0		0		L
2014/03/20	Thu	01:46 PM	1.4		43		H
2014/03/20	Thu	08:32 PM	-0.2		-6		L
2014/03/21	Fri	02:22 AM	1.5		46		H
2014/03/21	Fri	08:58 AM	0.0		0		L
2014/03/21	Fri	02:30 PM	1.4		43		H
2014/03/21	Fri	09:20 PM	-0.2		-6		L
2014/03/22	Sat	03:12 AM	1.5		46		H
2014/03/22	Sat	09:50 AM	0.1		3		L
2014/03/22	Sat	03:20 PM	1.4		43		H
2014/03/22	Sat	10:16 PM	-0.1		-3		L
2014/03/23	Sun	04:08 AM	1.4		43		H
2014/03/23	Sun	10:50 AM	0.2		6		L
2014/03/23	Sun	04:19 PM	1.3		40		H
2014/03/23	Sun	11:20 PM	-0.1		-3		L
2014/03/24	Mon	05:11 AM	1.4		43		H
2014/03/24	Mon	11:58 AM	0.2		6		L
2014/03/24	Mon	05:28 PM	1.3		40		H
2014/03/25	Tue	12:30 AM	-0.1		-3		L
2014/03/25	Tue	06:19 AM	1.4		43		H
2014/03/25	Tue	01:08 PM	0.1		3		L
2014/03/25	Tue	06:40 PM	1.4		43		H
2014/03/26	Wed	01:39 AM	-0.1		-3		L
2014/03/26	Wed	07:25 AM	1.5		46		H
2014/03/26	Wed	02:13 PM	0.0		0		L
